codice;nome;denominazione;tipo;descrizione;aromi;ID cantina;cantina;vitigno;paese;regione;grado;annata;formato;prezzo;costo;barcode;img;notes;quantita
100001;Amarone della Valpolicella DOCG Cavolo;Amarone della Valpolicella;Rosso;L'Amarone della Valpolicella Cavolo si origina dall'omonimo vigneto ubicato a Grezzana, in provincia di Verona. Nasce da una selezione di uve Corvina Veronese, Corvinone e Rondinella, messe ad appassire in fruttaio in cassette per 120 giorni. Durante la vinificazione a contatto con le bucce si ha la massima estrazione del colore e delle componenti nobili. Segue lunga maturazione per 2 anni in barrique e per altri 2 anni in botte di rovere di Slavonia. Il colore è rosso granato profondo. È caratterizzato al naso da spiccati aromi di frutta rossa in confettura, tra cui amarena e ciliegia, accompagnati da eleganti note di vaniglia, di appassimento e spezie. Al palato è strutturato e complesso, dalla consistenza vellutata.;Amarena, Ciliegia, Confettura di frutta, Spezie, Vaniglia;100;Brigaldara;Corvinone 55%, Corvina Veronese 25%, Rondinella 20%;Italia;Veneto;16%;2015;0.75;36.00;20;;;…;5
100002;Amarone della Valpolicella Classico DOCG;Amarone della Valpolicella;Rosso;L'Amarone Classico della Valpolicella di Brigaldara nasce in vigneti situati nel paese di San Floriano, nella straordinaria Vallata di Marano, una delle quattro valli che costituiscono il magico terroir della Valpolicella. È prodotto al 50% con uve Corvinone, al 20% con uve Corvina, al 20% con uve Rondinella e al 10% con uve di altri vitigni complementari. La vendemmia si svolge unicamente a mano durante la seconda metà di ottobre. Dopo l'appassimento tradizionale, le uve fermentano in rosso a contatto con le bucce, con rimontaggi quotidiani. Successivamente il vino affina per 1 anno in barrique e per ulteriori 2 anni in botti di rovere. È caratterizzato da un colore rosso granato. Al naso si apre con profumi di amarena e ciliegia, arricchiti da piacevoli sfumature di vaniglia e delicate note speziate. Al palato risulta elegante e vellutato, piacevolmente complesso e di grande struttura;Amarena, Cacao, Ciliegia, Tabacco;100;Brigaldara;Corvinone 50%, Corvina Veronese 20%, Rondinella 20%, Altri vitigni 10%;Italia;Veneto;16.5%;2016;0.75;45.00;25;;;…;6
100003;Amarone della Valpolicella DOCG Case Vecie;Amarone della Valpolicella;Rosso;L'Amarone della Valpolicella Case Vecie di Brigaldara nasce in vigneti situati nel paese di San Floriano, nella straordinaria Vallata di Marano, una delle quattro valli che costituiscono il magico terroir della Valpolicella. È prodotto con uve Corvinone, Corvina, Rondinella e uve di altri vitigni complementari, raccolte e selezionate unicamente a mano durante la seconda metà di ottobre. Dopo l'appassimento tradizionale, le uve fermentano in rosso a contatto con le bucce, con rimontaggi quotidiani. Successivamente il vino affina per 2 anni in barrique e per ulteriori 12 mesi in botti di rovere. È caratterizzato da un colore rosso granato. Al naso si apre con eleganti profumi di ciliegie ed amarene, arricchiti da piacevoli note speziate di tabacco e cacao. Al palato risulta vellutato e piacevolmente complesso, con una grande struttura;Amarena, Cacao, Ciliegia, Tabacco;100;Brigaldara;Corvinone 40%, Corvina Veronese 30%, Altri vitigni 15%, Rondinella 15%;Italia;Veneto;16.5%;2015;0.75;59.90;30;;;…;5
100004;Petra;Toscana IGT;Rosso;Il Toscana Rosso Petra dell'omonima azienda nasce nei vigneti sulle colline ferrose della Val di Cornia, nell'antico borgo di Suvereto. È prodotto con uve Cabernet Sauvignon e con uve Merlot, raccolte tra fine agosto e metà settembre. La fermentazione avviene con lieviti indigeni e la vinificazione si svolge in tini di rovere. Successivamente il vino matura in barrique a temperatura controllata per 18 mesi, e per ulteriori 18 mesi in bottiglia prima di essere immesso in commercio. È caratterizzato da un colore rosso granato, con sfumature intense e luminose. Al naso si rivela profondo, complesso e resistente. Al palato risulta pieno, con sentori di frutti neri e piacevoli sfumature di marasca, arricchiti da note speziate di rosmarino, mirto e caffè.;Frutti neri, Marasca, Spezie;101;Petra;Cabernet Sauvignon, Merlot;Italia;Toscana;14.5%;2017;0.75;39.00;20;;;…;10
100005;Quercegobbe;Toscana IGT;Rosso;Il Toscana Merlot Quercegobbe di Petra nasce in vigneti situati sulle colline ferrose della Val di Cornia, nell'antico borgo di Suvereto. È prodotto esclusivamente con uve Merlot, raccolte e selezionate interamente a mano. Il mosto fermenta in tini a temperatura controllata. Successivamente il vino affina in barrique di rovere e per altri 10 mesi in bottiglia prima di essere immesso in commercio. È caratterizzato da un colore rosso rubino intenso. Al naso si apre con ricchi sentori di frutti rossi, arricchiti da piacevoli note speziate ed aromi balsamici di mirto ed eucalipto. Al palato risulta di grande eleganza gustativa, con una fresca sapidità e mineralità. Il vino presenta una persistenza lunga, vigorosa ed armonica nel retrogusto.;Frutti rossi, Mirto, Spezie;101;Petra;Merlot 100%;Italia;Toscana;14.5%;2018;0.75;25.00;12;;;…;2
100006;Südtirol - Alto Adige DOC Sanct Valentin;Alto Adige;Bianco;Il Gewürztraminer è uno dei vitigni più amati a livello nazionale che, in questa etichetta, appartenente alla linea di punta di San Michele Appiano, Sanct Valentin, incontra il talento di una delle cantine più celebri dell'Alto Adige. Notevole la sua capacità di preservare le proprie caratteristiche anche dopo molti anni rispetto all'anno di vendemmia. La vinificazione si svolge con macerazione dei grappoli che precede una soffice pressatura. Il mosto così ottenuto viene avviato alla fermentazione dopodiché affina in tini di acciaio. Veste il calice di un bel giallo dorato. Si percepiscono al naso deliziosi profumi di rosa e frutti esotici, con cenni che richiamano le spezie orientali. Palato molto potente e complesso, si chiude su un gradevole e leggero residuo zuccherino.;Frutta tropicale, Rosa, Spezie orientali;102;St. Michael-Eppan;Gewürztraminer 100%;Italia;Alto Adige;14.5%;2020;0.75;25.50;12;;;…;3
100007;Barolo DOCG 2017;Barolo;Rosso;Il Barolo Prunotto dei Marchesi Antinori nasce nell'omonima tenuta, situata ad Alba, in Piemonte, su una morbida pianura circondata dai vigneti delle Langhe e del Roero. È prodotto esclusivamente con uve Nebbiolo, lasciate macerare per 15 giorni a una temperatura massima di 30°C. In seguito alla fermentazione malolattica, il vino è posto in botti di rovere francese e, in minor parte, in barrique di secondo passaggio per 24 mesi. Dopo l'imbottigliamento, il vino rimane ad affinare per altri 12 mesi nelle cantine di Prunotto. Questo Barolo presenta un colore rosso granato. Al naso risulta ampio e complesso, con sentori di viola e sfumature di sottobosco. Il gusto è pieno e vellutato, molto bene equilibrato. Nel complesso è un vino di grande struttura e corposità. Perfetto per accompagnare primi piatti con ragù di carne, questo vino è ideale in abbinamento a portate a base di carni rosse, arrosti e selvaggina.;Frutti di bosco, Violetta;103;Prunotto;Nebbiolo 100%;Italia;Piemonte;13.5%;2017;0.75;36.00;15;;;…;5
100008;Barbaresco DOCG 2018;Barbaresco;Rosso;Fondata nel 1859 da Giovanni Gaja, l’omonima cantina è probabilmente il simbolo delle Langhe, con tutta la sua storia e l’eredità che consegna ai posteri. Guidata con passione, forza e tenacia da Angelo Gaja insieme ai figli, Gaia, Rossana e Giovanni, è una delle aziende più importanti per la produzione di Barbaresco. Ne è un luminoso esempio, il Barbaresco Docg, nato nel Comune di Barbaresco, da una rigorosa selezione di uve Nebbiolo in purezza provenienti da 14 vigneti. Dopo una vendemmia esclusivamente manuale, il vino affina 12 mesi in barrique, 12 mesi in botte grande e ulteriori 12 mesi in bottiglia. È un vino che stupisce come pochi, vessillo della celebre cantina, che persegue il suo ideale tradizionalista anche nei vini, non rinunciando però alle più moderne e avanguardiste attrezzature in cantina. Un Barbaresco che si distingue per un colore rosso granato intenso e che incanta il naso con distintivi profumi di agrumi, fragoline di bosco, fiori di sambuco e pepe bianco. Suadente e affascinante come pochi sanno essere, avvolge il palato in modo corposo ed elegante, con tannini setosi e un finale lungo e persistente. Per il suo straordinario potenziale di invecchiamento, che si può protrarre fino ai 40 anni, è il vino ideale per immortalare un ricordo, per un regalo importante, per suggellare la magia di un momento. Il suo splendido profilo organolettico, che aggiunge un importante tassello alla storia dell’enologia italiana, lo rende il vino ideale da abbinare a piatti a base di selvaggina e carni rosse, come anche cacciagione e formaggi stagionati.;Frutti di bosco, Liquirizia, Prugna;104;Gaja;Nebbiolo 100%;Italia;Piemonte;14%;2018;0.75;195.00;80;;;…;1
100009;Sicilia Nero d'Avola DOC Harmonium 2014;Sicilia DOC;Rosso;Rubino intenso e fitto il colore alla vista. Il naso è concentrato e ben delineato, dapprima impostato su ricordi di marasca e di frutti di bosco, poi impreziosito da note di rabarbaro, chiodi di garofano, liquirizia e tabacco. L’assaggio è morbido e liscio, caldo e corposo, persistente, balsamico e vellutato in chiusura. Ideale per accompagnare le seconde portate a base di carne, è ottimo con l’agnello ai funghi.;Marasca, Frutti di bosco, Rabarbaro;105;Firmato;Nero d'Avola 100%;Italia;Sicilia;14.5%;2014;0.75;24.90;11;;;;3
100010;Chianti Classico Riserva DOCG Badia a Passignano - Gran Selezione 2018;Chianti Classico DOCG;Rosso;Colore rubino, dai riflessi granata. Al naso si esprime con sentori di prugna e more, note di viola e toni di liquirizia. Al palato è caldo, avvolgente, sontuosamente morbido e dai tannini vellutati. Lungamente persistente. Ideale in abbinamento ai primi di carne e alle carni rosse, è da provare con l'arrosto ripieno in crosta.;Prugna, More, Viola, Liquirizia;106;Antinori;Sangiovese 100%;Italia;Toscana;14%;2018;0.75;34.50;15;;;;5